category,gender,world_rank,team,nationality,full name
Men's Singles,M,81,Awadhe Warriors,India,Ajay Jayaram
Women's Singles,F,11,Awadhe Warriors,Usa,Beiwen Zhang
Mixed Doubles,F,,Awadhe Warriors,Denmark,Christinna Pedersen
Men's Doubles,M,27,Awadhe Warriors,Russian Federation,Ivan Sozonov
Men's Doubles,M,23,Awadhe Warriors,South Korea,Ko Sung Hyun
Men's Doubles,M,21,Awadhe Warriors,South Korea,Shin Baek Cheol
Men's Singles,M,43,Awadhe Warriors,India,Subhankar Dey
Women's Singles,F,141,Awadhe Warriors,India,Tanvi Lad
Men's Singles,M,37,Awadhe Warriors,Hong Kong,Wong Wing Ki Vincent
Men's Doubles,M,31,Hyderabad Hunters,England,Ben Lane
Men's Singles,M,31,Hyderabad Hunters,Malaysia,Daren Liew
Women's Singles,F,286,Hyderabad Hunters,India,Gadde Ruthvika Shivani
Mixed Doubles,F,28,Hyderabad Hunters,India,N. Sikki Reddy
Men's Singles,M,283,Hyderabad Hunters,India,Priyanshu Rajawat
Women's Singles,F,6,Hyderabad Hunters,India,Pusarla V. Sindhu
Men's Singles,M,31,Hyderabad Hunters,England,Sean Vendy
Men's Singles,M,36,Hyderabad Hunters,India,Sourabh Verma
Men's Doubles,M,27,Hyderabad Hunters,Russian Federation,Vladimir Ivanov
Men's Doubles,M,50,Pune 7 Aces,India,Arjun M.R.
Men's Doubles,M,8,Pune 7 Aces,India,Chirag Shetty
Men's Doubles,M,,Pune 7 Aces,England,Chris Adcock
Mixed Doubles,F,11,Pune 7 Aces,England,Gabrielle Adcock
Men's Doubles,M,2,Pune 7 Aces,Indonesia,Hendra Setiawan
Men's Singles,M,71,Pune 7 Aces,Japan,Kazumasa Sakai
Men's Singles,M,36,Pune 7 Aces,Singapore,Kean Yew Loh
Men's Singles,M,116,Pune 7 Aces,India,Mithun Manjunath
Women's Singles,F,135,Pune 7 Aces,India,Rituparna Das
Women's Singles,F,59,Pune 7 Aces,Vietnam,Thi Trang Vu
Mixed Doubles,F,10,Pune 7 Aces,Hong Kong,Tse Ying Suet
Women's Singles,F,81,North Eastern Warriors,India,Ashmita Chaliha
Men's Doubles,M,,North Eastern Warriors,Thailand,Bodin Isara
Men's Singles,M,127,North Eastern Warriors,India,Kaushal Dharmamer
Mixed Doubles,F,109,North Eastern Warriors,South Korea,Kim Ha Na
Men's Doubles,M,117,North Eastern Warriors,India,Krishna Prasad Garaga
Men's Singles,M,18,North Eastern Warriors,Hong Kong,Lee Cheuk Yiu
Men's Doubles,M,33,North Eastern Warriors,South Korea,Lee Yong Dae
Women's Singles,F,8,North Eastern Warriors,Canada,Michelle Li
Mixed Doubles,F,104,North Eastern Warriors,India,Rutaparna Panda
Men's Singles,M,39,North Eastern Warriors,Thailand,Tanongsak Saensomboonsuk
Men's Doubles,M,33,Mumbai Rockets,South Korea,Kim Gi Jung
Men's Doubles,M,,Mumbai Rockets,South Korea,Kim Sa Rang
Mixed Doubles,F,116,Mumbai Rockets,India,Kuhoo Garg
Men's Singles,M,49,Mumbai Rockets,South Korea,Lee Dong Keun
Men's Singles,M,25,Mumbai Rockets,India,Parupalli Kashyap
Mixed Doubles,F,67,Mumbai Rockets,Indonesia,Pia Zebadiah Bernadeth
Men's Doubles,M,28,Mumbai Rockets,India,Pranaav Jerry Chopra
Men's Doubles,M,50,Mumbai Rockets,India,Shlok Ramchandran
Men's Singles,M,244,Mumbai Rockets,India,Shreyansh Jaiswal
Women's Singles,F,371,Mumbai Rockets,India,Shriyanshi Pardeshi
Men's Doubles,M,31,Chennai Superstarz,India,B. Sumeeth Reddy
Men's Doubles,M,,Chennai Superstarz,India,Dhruv Kapila
Women's Singles,F,198,Chennai Superstarz,India,Gayatri Gopichand
Mixed Doubles,F,27,Chennai Superstarz,England,Jessica Pugh
Women's Singles,F,29,Chennai Superstarz,Scotland,Kirsty Gilmour
Men's Singles,M,41,Chennai Superstarz,India,Lakshya Sen
Men's Singles,M,330,Chennai Superstarz,India,S.Sankar Muthusamy Subramanian
Mixed Doubles,F,344,Chennai Superstarz,India,Sanjana Santosh
Men's Singles,M,,Chennai Superstarz,India,Sathish Kumar Karunakaran
Men's Doubles,M,8,Chennai Superstarz,India,Satwiksairaj Rankireddy
Men's Singles,M,17,Chennai Superstarz,Indonesia,Tommy Sugiarto
Men's Singles,M,241,Bengaluru Raptors,India,Ansal Yadav
Men's Doubles,M,67,Bengaluru Raptors,India,Arun George
Men's Singles,M,10,Bengaluru Raptors,India,B. Sai Praneeth
Men's Singles,M,34,Bengaluru Raptors,France,Brice Leverdez
Mixed Doubles,F,31,Bengaluru Raptors,South Korea,Eom Hye Won
Women's Singles,F,,Bengaluru Raptors,India,Medha Shashidharan
Mixed Doubles,M,7,Bengaluru Raptors,Malaysia,Peng Soon Chan
Men's Doubles,M,96,Bengaluru Raptors,Indonesia,Rian Agung Saputro
Women's Singles,F,2,Bengaluru Raptors,Chinese Taipei,Tai Tzu Ying
